,Commands
0,straight
1,straight
2,straight
3,straight
4,straight
5,straight
6,straight
7,straight
8,straight
9,straight
10,straight
11,straight
12,straight
13,straight
14,straight
15,straight
16,straight
17,straight
18,straight
19,straight
20,straight
21,straight
22,straight
23,straight
24,straight
25,straight
26,straight
27,straight
28,straight
29,straight
30,straight
31,straight
32,stop
33,stop
34,stop
35,stop
36,stop
37,stop
38,stop
39,stop
40,stop
41,stop
42,straight
43,straight
44,straight
45,straight
46,straight
47,straight
48,straight
49,straight
50,straight
51,straight
52,straight
53,straight
54,straight
55,straight
56,straight
57,straight
58,straight
59,straight
60,straight
61,straight
62,straight
63,straight
64,straight
65,straight
66,straight
67,straight
68,straight
69,straight
70,straight
71,straight
72,straight
73,straight
74,straight
75,straight
76,stop
77,stop
78,stop
79,stop
80,stop
81,stop
82,stop
83,stop
84,stop
85,stop
86,stop
87,stop
88,stop
89,stop
90,stop
91,stop
92,stop
93,straight
94,straight
95,straight
96,straight
97,straight
98,straight
99,straight
100,straight
101,straight
102,straight
103,straight
104,straight
105,straight
106,straight
107,straight
